,id,B,S,size,density,iterations,file,density_evolution
45,45,"(0, 1)","(3, 8)",10,0.0503700567575438,10,./data/datasets/BISI/dataset13/individuals/ca_45,"[0.07, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85]"
46,46,"(4, 4)","(0, 9)",10,0.26726253788147825,10,./data/datasets/BISI/dataset13/individuals/ca_46,"[0.18, 0.19, 0.21, 0.24, 0.28, 0.31, 0.32, 0.33, 0.35, 0.37]"
47,47,"(2, 3)","(1, 1)",10,0.31194499547960186,10,./data/datasets/BISI/dataset13/individuals/ca_47,"[0.21, 0.4, 0.29, 0.26, 0.4, 0.27, 0.43, 0.28, 0.36, 0.3]"
48,48,"(2, 4)","(5, 5)",10,0.9443723899839336,10,./data/datasets/BISI/dataset13/individuals/ca_48,"[0.94, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
49,49,"(2, 5)","(5, 7)",10,0.08529556585870057,10,./data/datasets/BISI/dataset13/individuals/ca_49,"[0.08, 0.12, 0.2, 0.34, 0.27, 0.48, 0.42, 0.64, 0.38, 0.46]"
50,50,"(1, 6)","(6, 7)",10,0.6963434888154595,10,./data/datasets/BISI/dataset13/individuals/ca_50,"[0.63, 0.52, 0.47, 0.53, 0.52, 0.47, 0.51, 0.53, 0.49, 0.52]"
51,51,"(1, 3)","(5, 9)",10,0.7438345453097878,10,./data/datasets/BISI/dataset13/individuals/ca_51,"[0.75, 0.68, 0.67, 0.54, 0.69, 0.62, 0.68, 0.66, 0.67, 0.57]"
52,52,"(0, 2)","(1, 9)",10,0.9903389473967044,10,./data/datasets/BISI/dataset13/individuals/ca_52,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
53,53,"(0, 6)","(0, 4)",10,0.02065099946572868,10,./data/datasets/BISI/dataset13/individuals/ca_53,"[0.02, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0]"
54,54,"(3, 4)","(3, 8)",10,0.6457845985018992,10,./data/datasets/BISI/dataset13/individuals/ca_54,"[0.61, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79]"
55,55,"(0, 7)","(3, 8)",10,0.27354203481563577,10,./data/datasets/BISI/dataset13/individuals/ca_55,"[0.19, 0.82, 0.93, 0.93, 0.93, 0.93, 0.93, 0.93, 0.93, 0.93]"
56,56,"(1, 8)","(4, 7)",10,0.6874882763878153,10,./data/datasets/BISI/dataset13/individuals/ca_56,"[0.68, 0.87, 0.67, 0.66, 0.82, 0.69, 0.62, 0.91, 0.62, 0.73]"
57,57,"(4, 9)","(0, 6)",10,0.3136923925080297,10,./data/datasets/BISI/dataset13/individuals/ca_57,"[0.28, 0.42, 0.45, 0.56, 0.42, 0.52, 0.55, 0.64, 0.68, 0.79]"
58,58,"(2, 4)","(3, 6)",10,0.7115838170608139,10,./data/datasets/BISI/dataset13/individuals/ca_58,"[0.78, 0.46, 0.59, 0.76, 0.52, 0.6, 0.72, 0.62, 0.68, 0.67]"
59,59,"(7, 8)","(0, 5)",10,0.21488073675057817,10,./data/datasets/BISI/dataset13/individuals/ca_59,"[0.21, 0.21, 0.21, 0.21, 0.21, 0.21, 0.21, 0.21, 0.21, 0.21]"
60,60,"(4, 5)","(4, 7)",10,0.17490887430950752,10,./data/datasets/BISI/dataset13/individuals/ca_60,"[0.22, 0.07, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
61,61,"(3, 3)","(2, 9)",10,0.18327983621407862,10,./data/datasets/BISI/dataset13/individuals/ca_61,"[0.18, 0.17, 0.23, 0.29, 0.36, 0.47, 0.56, 0.64, 0.72, 0.75]"
62,62,"(3, 5)","(2, 7)",10,0.7469942401995034,10,./data/datasets/BISI/dataset13/individuals/ca_62,"[0.82, 0.7, 0.76, 0.71, 0.75, 0.73, 0.73, 0.73, 0.73, 0.73]"
63,63,"(1, 6)","(0, 5)",10,0.5521924699224066,10,./data/datasets/BISI/dataset13/individuals/ca_63,"[0.55, 0.85, 0.2, 0.58, 0.59, 0.56, 0.63, 0.52, 0.75, 0.42]"
64,64,"(0, 3)","(1, 9)",10,0.10029394226549782,10,./data/datasets/BISI/dataset13/individuals/ca_64,"[0.1, 0.93, 0.93, 0.93, 0.93, 0.93, 0.93, 0.93, 0.93, 0.93]"
65,65,"(6, 9)","(6, 7)",10,0.66991654659091,10,./data/datasets/BISI/dataset13/individuals/ca_65,"[0.76, 0.47, 0.19, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
66,66,"(7, 8)","(0, 8)",10,0.5864101661863267,10,./data/datasets/BISI/dataset13/individuals/ca_66,"[0.57, 0.6, 0.61, 0.61, 0.61, 0.61, 0.61, 0.61, 0.61, 0.61]"
67,67,"(8, 9)","(3, 6)",10,0.7875421559550259,10,./data/datasets/BISI/dataset13/individuals/ca_67,"[0.74, 0.49, 0.4, 0.35, 0.3, 0.26, 0.22, 0.21, 0.2, 0.2]"
68,68,"(4, 9)","(0, 2)",10,0.2317016264712045,10,./data/datasets/BISI/dataset13/individuals/ca_68,"[0.16, 0.17, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15]"
69,69,"(7, 8)","(4, 4)",10,0.48615956031119767,10,./data/datasets/BISI/dataset13/individuals/ca_69,"[0.55, 0.21, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
70,70,"(6, 7)","(4, 9)",10,0.8489435553129182,10,./data/datasets/BISI/dataset13/individuals/ca_70,"[0.83, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95]"
71,71,"(7, 9)","(1, 3)",10,0.14814086094816503,10,./data/datasets/BISI/dataset13/individuals/ca_71,"[0.17, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15]"
72,72,"(3, 6)","(6, 7)",10,0.4973913654986627,10,./data/datasets/BISI/dataset13/individuals/ca_72,"[0.5, 0.41, 0.52, 0.47, 0.5, 0.47, 0.53, 0.47, 0.53, 0.47]"
73,73,"(6, 9)","(0, 3)",10,0.13690027168559893,10,./data/datasets/BISI/dataset13/individuals/ca_73,"[0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14]"
74,74,"(1, 4)","(0, 5)",10,0.511318982546456,10,./data/datasets/BISI/dataset13/individuals/ca_74,"[0.49, 0.77, 0.25, 0.7, 0.36, 0.62, 0.5, 0.59, 0.53, 0.6]"
75,75,"(1, 4)","(4, 4)",10,0.5692107600936255,10,./data/datasets/BISI/dataset13/individuals/ca_75,"[0.57, 0.35, 0.56, 0.35, 0.52, 0.48, 0.43, 0.55, 0.41, 0.53]"
76,76,"(4, 8)","(6, 9)",10,0.7752197774666111,10,./data/datasets/BISI/dataset13/individuals/ca_76,"[0.69, 0.66, 0.61, 0.58, 0.57, 0.54, 0.52, 0.5, 0.5, 0.5]"
77,77,"(3, 3)","(1, 2)",10,0.013948395933415347,10,./data/datasets/BISI/dataset13/individuals/ca_77,"[0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
78,78,"(1, 3)","(1, 4)",10,0.08960303423860538,10,./data/datasets/BISI/dataset13/individuals/ca_78,"[0.09, 0.54, 0.39, 0.53, 0.42, 0.56, 0.39, 0.53, 0.42, 0.62]"
79,79,"(7, 8)","(3, 4)",10,0.7521345209879338,10,./data/datasets/BISI/dataset13/individuals/ca_79,"[0.73, 0.23, 0.08, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
80,80,"(2, 3)","(8, 9)",10,0.09654960982745808,10,./data/datasets/BISI/dataset13/individuals/ca_80,"[0.1, 0.12, 0.21, 0.25, 0.39, 0.3, 0.29, 0.4, 0.31, 0.31]"
81,81,"(0, 4)","(3, 8)",10,0.26211814923967824,10,./data/datasets/BISI/dataset13/individuals/ca_81,"[0.28, 0.78, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83]"
82,82,"(1, 5)","(7, 8)",10,0.28351884658216664,10,./data/datasets/BISI/dataset13/individuals/ca_82,"[0.32, 0.61, 0.24, 0.64, 0.25, 0.61, 0.38, 0.58, 0.41, 0.56]"
83,83,"(3, 7)","(3, 5)",10,0.0568480764332403,10,./data/datasets/BISI/dataset13/individuals/ca_83,"[0.06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
84,84,"(3, 7)","(0, 5)",10,0.6813591290967357,10,./data/datasets/BISI/dataset13/individuals/ca_84,"[0.76, 0.47, 0.41, 0.65, 0.49, 0.61, 0.46, 0.58, 0.55, 0.63]"
85,85,"(3, 9)","(5, 7)",10,0.272821902424467,10,./data/datasets/BISI/dataset13/individuals/ca_85,"[0.25, 0.22, 0.22, 0.23, 0.23, 0.25, 0.24, 0.25, 0.24, 0.25]"
