Dataset,Model,Model variation,Number of individuals,Execution,RMSE,R2,RMSE by iteration,R2 by iteration
dataset12_density,DecisionTree,vector,1000,0,0.610793939756027,0.646428282569536,"{'1': 0.6037016421503663, '2': 0.6349845236932619, '3': 0.6013995392996192, '4': 0.5891522415999878, '5': 0.6272309142959438, '6': 0.6022905990469155, '7': 0.6121097547283136, '8': 0.6195513894871517, '9': 0.6067248535026833}","{'1': 0.6498862600628095, '2': 0.616968537315947, '3': 0.6517064907325317, '4': 0.6693986250213908, '5': 0.6334136995768276, '6': 0.6559060437954713, '7': 0.6525399889363612, '8': 0.631320464630706, '9': 0.656714433053779}"
dataset12_density,DecisionTree,vector,1000,1,0.6480149849661577,0.5602764556501656,"{'1': 0.5506715231798284, '2': 0.6767428294562632, '3': 0.6380685277937286, '4': 0.7047516925420679, '5': 0.640047684956676, '6': 0.6656524929655803, '7': 0.6319088939044086, '8': 0.6837632262610944, '9': 0.6405279936357711}","{'1': 0.6484826738187113, '2': 0.4929663301238205, '3': 0.5732348698729994, '4': 0.49026291362942886, '5': 0.5753420848994695, '6': 0.5552545279176033, '7': 0.5943010449692925, '8': 0.527678049782125, '9': 0.5849656058380404}"
dataset12_density,DecisionTree,vector,1000,2,0.6073746080909199,0.618360711962034,"{'1': 0.5558035907223382, '2': 0.6115390825303516, '3': 0.5721688561603934, '4': 0.623134115106182, '5': 0.585134733650888, '6': 0.629892649616319, '7': 0.6282684198977161, '8': 0.6358666530466104, '9': 0.624563372087481}","{'1': 0.6858908206209309, '2': 0.5940000986581113, '3': 0.6635845718168724, '4': 0.5895230052557215, '5': 0.655523514165463, '6': 0.58615753395081, '7': 0.5992427005493601, '8': 0.5827927267178983, '9': 0.6085314359231389}"
dataset12_density,DecisionTree,vector,1000,3,0.6258415093001343,0.6174665236901491,"{'1': 0.6276934894269525, '2': 0.6186423725740943, '3': 0.624214942462522, '4': 0.6249256481811342, '5': 0.6102298829942808, '6': 0.6419034289324186, '7': 0.6243133973389638, '8': 0.6316929352101139, '9': 0.6289574865807288}","{'1': 0.6188733785309997, '2': 0.6439421260412039, '3': 0.620407459497099, '4': 0.6274731345336673, '5': 0.6240205831060786, '6': 0.5970185575615156, '7': 0.6141917497028262, '8': 0.6052437066651766, '9': 0.6060280175727752}"
dataset12_density,DecisionTree,vector,1000,4,0.6396583056404446,0.5997841556107745,"{'1': 0.5824338091271618, '2': 0.6698647185205707, '3': 0.6414174794070748, '4': 0.6366664217142531, '5': 0.6294533706165247, '6': 0.6398134984805125, '7': 0.6316142900231253, '8': 0.6882705873495921, '9': 0.637390575525186}","{'1': 0.670607392548735, '2': 0.5736544101590766, '3': 0.5946171699963126, '4': 0.6064979285201673, '5': 0.6130819825353455, '6': 0.6005071317434983, '7': 0.6095968028147805, '8': 0.5294900189882982, '9': 0.6000045631907558}"
dataset12_density,DecisionTree,vector,1000,5,0.576647905746839,0.6915103503702358,"{'1': 0.5987808607342634, '2': 0.5864662252619638, '3': 0.5464082510349056, '4': 0.5468257779644975, '5': 0.5496084473390574, '6': 0.5757224565070824, '7': 0.60113828363974, '8': 0.5897945234714314, '9': 0.5950863257686088}","{'1': 0.6569515431932278, '2': 0.6865186817714424, '3': 0.7204911893125345, '4': 0.722259897690495, '5': 0.7202601494730507, '6': 0.7009489751736573, '7': 0.6661396208029475, '8': 0.6801618362715787, '9': 0.6698612596431885}"
dataset12_density,DecisionTree,vector,1000,6,0.6545200283441995,0.4785617209641917,"{'1': 0.6567498825058923, '2': 0.6574005286471576, '3': 0.6485358999032517, '4': 0.6616828611568996, '5': 0.675448287476797, '6': 0.6370902800674745, '7': 0.6718052055245641, '8': 0.6393000094835257, '9': 0.642667300332234}","{'1': 0.52630434311674, '2': 0.47314288667259663, '3': 0.4821078837310423, '4': 0.45085743566366143, '5': 0.4362348321297963, '6': 0.4950095009512807, '7': 0.4556343382047333, '8': 0.4825153583232945, '9': 0.5052489098845807}"
dataset12_density,DecisionTree,vector,1000,7,0.6681734727493807,0.5072750840266287,"{'1': 0.6279360333434538, '2': 0.6473472429736836, '3': 0.6762741580740265, '4': 0.6843400402708905, '5': 0.6656627874337651, '6': 0.6836059782307369, '7': 0.67357621099311, '8': 0.6987932641723718, '9': 0.6560255392523878}","{'1': 0.5934607408030734, '2': 0.5311746151224632, '3': 0.5028596990232563, '4': 0.45649404173780594, '5': 0.5215710543408858, '6': 0.4732869658582245, '7': 0.5094582324669723, '8': 0.4533821772030526, '9': 0.5237882296839251}"
dataset12_density,DecisionTree,vector,1000,8,0.6279694166605806,0.6012497381186142,"{'1': 0.5195852699744552, '2': 0.6013603584019811, '3': 0.6315832932801407, '4': 0.6288472299510595, '5': 0.64525485239227, '6': 0.6598697121093073, '7': 0.6358403783832489, '8': 0.6747203515008203, '9': 0.6546633039519417}","{'1': 0.7069630980929241, '2': 0.6325586485763004, '3': 0.5969365743539854, '4': 0.6050299359894398, '5': 0.5889544707984471, '6': 0.5684900327009594, '7': 0.5956077777420195, '8': 0.5513369227891914, '9': 0.5653701820242598}"
dataset12_density,DecisionTree,vector,1000,9,0.660531024063501,0.5723616294813072,"{'1': 0.5435654629984163, '2': 0.6339652598732572, '3': 0.6473677242740419, '4': 0.672488201721601, '5': 0.6973360875826478, '6': 0.6646461210626953, '7': 0.696683551589305, '8': 0.6829368287067458, '9': 0.7057899787627985}","{'1': 0.7294466945173694, '2': 0.6435551146037148, '3': 0.5710731322028764, '4': 0.5830265604574385, '5': 0.5057670056570291, '6': 0.585938686955149, '7': 0.49737368695258355, '8': 0.5605242216313027, '9': 0.4745495623543011}"
dataset12_density,RandomForest,vector,1000,0,0.6622560617852845,0.5824762669095542,"{'1': 0.6710730182837825, '2': 0.7136278239671316, '3': 0.6014906481851368, '4': 0.6848333185241128, '5': 0.6034570483404359, '6': 0.713525379678658, '7': 0.6274620740820811, '8': 0.7029860013139068, '9': 0.6418492436923149}","{'1': 0.5673825875727168, '2': 0.5162157591922227, '3': 0.6516009534480725, '4': 0.5532965058049032, '5': 0.6606764132882386, '6': 0.5170705100302846, '7': 0.6348921341513727, '8': 0.5253344480231856, '9': 0.6158170906749907}"
dataset12_density,RandomForest,vector,1000,1,0.6660807436731366,0.5332909473347438,"{'1': 0.6105678941453918, '2': 0.7403143575665356, '3': 0.6385753677555054, '4': 0.7261484801193138, '5': 0.6253394391016109, '6': 0.718119715822996, '7': 0.6135591732883479, '8': 0.7053146882055309, '9': 0.6167875770529972}","{'1': 0.5678550653204973, '2': 0.3932331879008142, '3': 0.5725566119092985, '4': 0.4588410537005343, '5': 0.5946350444036308, '6': 0.48238111813100126, '7': 0.6175207664718869, '8': 0.4974346931324045, '9': 0.6151609850426267}"
dataset12_density,RandomForest,vector,1000,2,0.7364605649200997,0.4399509343451412,"{'1': 0.6964664654741992, '2': 0.7458039907068701, '3': 0.7369390687741191, '4': 0.7277749456892524, '5': 0.7343348566253223, '6': 0.7485148957005638, '7': 0.7446406593526002, '8': 0.7509317430955784, '9': 0.7427384588623904}","{'1': 0.5067826422900059, '2': 0.39615301932307656, '3': 0.4419274811171532, '4': 0.44008775410430534, '5': 0.45745456777389715, '6': 0.4156098770507507, '7': 0.4370310102688776, '8': 0.4181370592016871, '9': 0.44637499797651825}"
dataset12_density,RandomForest,vector,1000,3,0.7367111487765386,0.4700495299972609,"{'1': 0.7444230241012099, '2': 0.7351333180211708, '3': 0.744914271411538, '4': 0.7372326103288884, '5': 0.7261434286070488, '6': 0.7363868752765217, '7': 0.7298262461055375, '8': 0.7432219452291835, '9': 0.7331186199077495}","{'1': 0.4639397178342688, '2': 0.49722522333429364, '3': 0.4594175556181048, '4': 0.4815463048973886, '5': 0.46761973211542784, '6': 0.4696559086733102, '7': 0.47276387908433826, '8': 0.4535454177173076, '9': 0.46473203070090885}"
dataset12_density,RandomForest,vector,1000,4,0.7020438439593308,0.5187368565393818,"{'1': 0.7020200941521215, '2': 0.7469696587127509, '3': 0.6844537137124537, '4': 0.7182904274644152, '5': 0.6825176138150695, '6': 0.7131881151071221, '7': 0.6979299648689609, '8': 0.691504225227214, '9': 0.6815207825738694}","{'1': 0.5214583081567272, '2': 0.46985644092951373, '3': 0.5383934772079032, '4': 0.4991319958997976, '5': 0.5450962107820052, '6': 0.503624396040418, '7': 0.5233131619572122, '8': 0.5250585265228255, '9': 0.5426991913580347}"
