Dataset,Model,Model variation,Number of individuals,Execution,RMSE,R2,RMSE by iteration,R2 by iteration
dataset9_density,DecisionTree,vector,1000,3,0.3027496008975194,0.9079879853923806,"{'1': 0.33615560180628656, '2': 0.29010951603314394, '3': 0.27836478321926017, '4': 0.2921464075161834, '5': 0.2960309469622452, '6': 0.30352796422124617, '7': 0.30634803947368033, '8': 0.3106059118269858, '9': 0.3114572370186436}","{'1': 0.892054395786083, '2': 0.9168762133326135, '3': 0.9223060403338352, '4': 0.9140817030768453, '5': 0.9116202129436145, '6': 0.9067411116698295, '7': 0.9050249015850919, '8': 0.9019229571179017, '9': 0.9012643326856093}"
dataset9_density,DecisionTree,vector,1000,4,0.3661680682971755,0.8651056494530044,"{'1': 0.3603119584166228, '2': 0.3440994070354442, '3': 0.34995027559105196, '4': 0.361999754029531, '5': 0.3725274885813365, '6': 0.37599318757038536, '7': 0.3764457329926461, '8': 0.3758848414074158, '9': 0.3782999690501457}","{'1': 0.8712898139076921, '2': 0.8810248029667626, '3': 0.8768760670454948, '4': 0.8682581010637205, '5': 0.8607181572903557, '6': 0.8576944345249115, '7': 0.8571861447639519, '8': 0.857443398103851, '9': 0.8554599254102995}"
dataset9_density,DecisionTree,vector,1000,5,0.3606552325963559,0.870989845523296,"{'1': 0.37724015863566734, '2': 0.35183969441539675, '3': 0.3538374173915285, '4': 0.3490049138937916, '5': 0.3482113973063548, '6': 0.35290758067680145, '7': 0.3634275924708639, '8': 0.372128010909948, '9': 0.37730032766685134}","{'1': 0.8603138481255447, '2': 0.8779155970789376, '3': 0.8763342269053945, '4': 0.8795747983176236, '5': 0.8797236068814254, '6': 0.8764414693906746, '7': 0.8688008651283923, '8': 0.8620494883862202, '9': 0.8577547094954497}"
dataset9_density,DecisionTree,vector,1000,6,0.3674347844073012,0.866886519631994,"{'1': 0.3606044260611896, '2': 0.3330629358893181, '3': 0.33085216612348584, '4': 0.33964987358114684, '5': 0.35347174514619123, '6': 0.37558896475538, '7': 0.38965922118400714, '8': 0.4056045864047844, '9': 0.41841914052020807}","{'1': 0.8801203852063638, '2': 0.8923765864380053, '3': 0.8919183698084518, '4': 0.8856044332480394, '5': 0.8768249186374892, '6': 0.8607053046138962, '7': 0.8499213371053486, '8': 0.8374465505868053, '9': 0.8270607910435465}"
dataset9_density,DecisionTree,vector,1000,7,0.3552917366647037,0.880356138455238,"{'1': 0.3114932306418232, '2': 0.33918924657443833, '3': 0.34312460240637443, '4': 0.35015187942705434, '5': 0.3586104074826839, '6': 0.36263286765390795, '7': 0.37098002828172344, '8': 0.3795253019412732, '9': 0.3819180655730546}","{'1': 0.9068880589766353, '2': 0.8937592697087791, '3': 0.8904079492903121, '4': 0.8853656806413354, '5': 0.8791700594592697, '6': 0.8756080365565978, '7': 0.8691198892592582, '8': 0.8625825235749753, '9': 0.8603037786299794}"
dataset9_density,DecisionTree,vector,1000,8,0.334151847651788,0.8932082439447036,"{'1': 0.31677743695543914, '2': 0.2856922157891924, '3': 0.30203556380482155, '4': 0.31988139092123286, '5': 0.33601568268678733, '6': 0.3486954543128503, '7': 0.36040913859470264, '8': 0.36631675084421383, '9': 0.3715429949568522}","{'1': 0.9057894475131365, '2': 0.9218898067850332, '3': 0.9131921768607645, '4': 0.903016484634237, '5': 0.8930937017553698, '6': 0.884707396352749, '7': 0.8766854875680581, '8': 0.8722554158669436, '9': 0.8682442781660396}"
dataset9_density,DecisionTree,vector,1000,9,0.451808494691648,0.7870059805355759,"{'1': 0.3953917751849272, '2': 0.40046776386424265, '3': 0.4215618606303825, '4': 0.44935028569770186, '5': 0.47135897757807066, '6': 0.4778079488653544, '7': 0.48304274668335423, '8': 0.483326951416514, '9': 0.4839681423042843}","{'1': 0.8359934817545946, '2': 0.8252908119910091, '3': 0.8117227338331361, '4': 0.7894241849996747, '5': 0.7714205432724718, '6': 0.7665056152512, '7': 0.7614600597896455, '8': 0.7609027219170134, '9': 0.7603336720114382}"
dataset9_density,RandomForest,vector,1000,0,0.2107194139552347,0.9534696506367984,"{'1': 0.21142133532726562, '2': 0.2002817002330601, '3': 0.17803728993344942, '4': 0.18275087176073843, '5': 0.1878066028220587, '6': 0.21049058348538263, '7': 0.22300388372958593, '8': 0.24948526240582003, '9': 0.25319719589975104}","{'1': 0.9563173685277374, '2': 0.9599275232567475, '3': 0.9674380563291824, '4': 0.9652195157367603, '5': 0.9628280845619636, '6': 0.9534163384770351, '7': 0.9477229803670466, '8': 0.9351728500732351, '9': 0.9331841384014783}"
dataset9_density,RandomForest,vector,1000,1,0.1989914081201064,0.9634761430600745,"{'1': 0.16154944925745993, '2': 0.2004988444746869, '3': 0.198879648966224, '4': 0.2005911494192057, '5': 0.20372038738180787, '6': 0.2079417666796942, '7': 0.2069802175354859, '8': 0.2051274794565791, '9': 0.2056337299098141}","{'1': 0.9741746870324187, '2': 0.9623696884130705, '3': 0.9640002980791631, '4': 0.9637973964032885, '5': 0.9625835488837671, '6': 0.9607989039025338, '7': 0.9609490031265604, '8': 0.9614419980949721, '9': 0.9611697636048959}"
dataset9_density,RandomForest,vector,1000,2,0.2600677486945393,0.9294148309333414,"{'1': 0.22806301245542895, '2': 0.22553047328936207, '3': 0.21991899806836746, '4': 0.22524901593837177, '5': 0.2437657618692018, '6': 0.261577847571508, '7': 0.2879405134819435, '8': 0.3141862086250104, '9': 0.3343779069516602}","{'1': 0.9450484445036222, '2': 0.9483268350652712, '3': 0.9513182597309293, '4': 0.9488350505738307, '5': 0.9396509823374964, '6': 0.9302310310938813, '7': 0.9151381344085727, '8': 0.8996784854174413, '9': 0.8865062552690285}"
