,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
49,0.004887437820434571,0.0008259820904939502,0.0,0.0,poisson,1,sqrt,11,2,random,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 11, 'min_samples_split': 2, 'splitter': 'random'}",,,,,,,,1025
50,0.0035814762115478514,0.0004553393251375088,0.0,0.0,poisson,1,sqrt,11,7,best,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 11, 'min_samples_split': 7, 'splitter': 'best'}",,,,,,,,1025
51,0.004791927337646484,0.0012280619679466433,0.0,0.0,poisson,1,sqrt,11,7,random,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 11, 'min_samples_split': 7, 'splitter': 'random'}",,,,,,,,1025
52,0.003934717178344727,0.0006132296712580403,0.0,0.0,poisson,1,sqrt,11,12,best,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 11, 'min_samples_split': 12, 'splitter': 'best'}",,,,,,,,1025
53,0.004655790328979492,0.0011058994574046311,0.0,0.0,poisson,1,sqrt,11,12,random,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 11, 'min_samples_split': 12, 'splitter': 'random'}",,,,,,,,1025
54,0.0046024322509765625,0.0012393752420394746,0.0,0.0,poisson,1,sqrt,11,17,best,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 11, 'min_samples_split': 17, 'splitter': 'best'}",,,,,,,,1025
55,0.00486445426940918,0.0011262229779547086,0.0,0.0,poisson,1,sqrt,11,17,random,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 11, 'min_samples_split': 17, 'splitter': 'random'}",,,,,,,,1025
56,0.004790449142456054,0.0009872241102101915,0.0,0.0,poisson,1,sqrt,16,2,best,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 16, 'min_samples_split': 2, 'splitter': 'best'}",,,,,,,,1025
57,0.0038866519927978514,0.0006690588198071907,0.0,0.0,poisson,1,sqrt,16,2,random,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 16, 'min_samples_split': 2, 'splitter': 'random'}",,,,,,,,1025
58,0.0029270172119140623,0.00014816193759595165,0.0,0.0,poisson,1,sqrt,16,7,best,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 16, 'min_samples_split': 7, 'splitter': 'best'}",,,,,,,,1025
