,id,B,S,Bl,Bt,Sl,St,0,1,2,3,4,5,6,7,8,9
31,31,"(2, 8)","(0, 3)",2,8,0,3,0.47,0.75,0.24,0.49,0.49,0.57,0.45,0.56,0.53,0.46
32,32,"(0, 6)","(0, 6)",0,6,0,6,0.54,0.97,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
33,33,"(3, 3)","(8, 8)",3,3,8,8,0.59,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,34,"(2, 8)","(2, 3)",2,8,2,3,0.51,0.63,0.38,0.52,0.53,0.47,0.62,0.39,0.49,0.44
35,35,"(0, 8)","(3, 8)",0,8,3,8,0.55,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,36,"(2, 8)","(4, 8)",2,8,4,8,0.41,0.67,0.89,0.99,1.0,1.0,1.0,1.0,1.0,1.0
37,37,"(0, 3)","(3, 4)",0,3,3,4,0.51,0.36,0.63,0.18,0.82,0.05,0.94,0.0,1.0,0.0
38,38,"(6, 9)","(0, 8)",6,9,0,8,0.47,0.52,0.56,0.57,0.57,0.57,0.57,0.57,0.57,0.57
39,39,"(5, 8)","(0, 9)",5,8,0,9,0.54,0.79,0.92,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,40,"(6, 9)","(3, 5)",6,9,3,5,0.5,0.45,0.33,0.2,0.15,0.12,0.1,0.09,0.08,0.08
41,41,"(1, 8)","(0, 4)",1,8,0,4,0.51,0.8,0.23,0.64,0.47,0.6,0.54,0.58,0.46,0.6
42,42,"(6, 9)","(5, 7)",6,9,5,7,0.51,0.27,0.1,0.02,0.0,0.0,0.0,0.0,0.0,0.0
43,43,"(8, 8)","(2, 9)",8,8,2,9,0.45,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44
44,44,"(6, 8)","(6, 9)",6,8,6,9,0.48,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,45,"(1, 6)","(8, 8)",1,6,8,8,0.46,0.54,0.43,0.54,0.46,0.54,0.46,0.54,0.46,0.54
46,46,"(2, 3)","(3, 6)",2,3,3,6,0.49,0.63,0.61,0.6,0.63,0.62,0.62,0.62,0.62,0.62
47,47,"(3, 6)","(5, 7)",3,6,5,7,0.4,0.45,0.51,0.43,0.51,0.46,0.46,0.5,0.44,0.51
48,48,"(0, 8)","(4, 6)",0,8,4,6,0.53,0.8,0.54,0.83,0.42,0.82,0.47,0.82,0.45,0.82
49,49,"(5, 8)","(2, 3)",5,8,2,3,0.4,0.33,0.09,0.03,0.03,0.03,0.03,0.03,0.03,0.03
50,50,"(7, 9)","(3, 5)",7,9,3,5,0.52,0.45,0.39,0.35,0.29,0.24,0.22,0.21,0.2,0.19
51,51,"(4, 5)","(3, 3)",4,5,3,3,0.4,0.33,0.2,0.03,0.0,0.0,0.0,0.0,0.0,0.0
52,52,"(7, 9)","(9, 9)",7,9,9,9,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,53,"(3, 7)","(2, 3)",3,7,2,3,0.59,0.47,0.52,0.51,0.53,0.44,0.64,0.29,0.48,0.26
54,54,"(7, 9)","(5, 7)",7,9,5,7,0.47,0.11,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,55,"(1, 2)","(2, 8)",1,2,2,8,0.61,0.6,0.62,0.62,0.61,0.61,0.6,0.62,0.61,0.63
56,56,"(1, 5)","(4, 8)",1,5,4,8,0.53,0.79,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82
57,57,"(0, 2)","(5, 5)",0,2,5,5,0.53,0.15,0.76,0.16,0.76,0.1,0.87,0.08,0.88,0.08
58,58,"(0, 8)","(1, 1)",0,8,1,1,0.56,0.44,0.58,0.42,0.58,0.42,0.58,0.42,0.58,0.42
59,59,"(0, 3)","(8, 8)",0,3,8,8,0.5,0.14,0.84,0.39,0.54,0.37,0.54,0.34,0.62,0.33
60,60,"(4, 4)","(0, 9)",4,4,0,9,0.44,0.58,0.65,0.7,0.71,0.73,0.75,0.76,0.76,0.76
61,61,"(3, 7)","(2, 3)",3,7,2,3,0.49,0.51,0.49,0.59,0.37,0.46,0.52,0.3,0.37,0.49
62,62,"(1, 1)","(1, 2)",1,1,1,2,0.47,0.07,0.3,0.2,0.28,0.28,0.29,0.22,0.38,0.28
