,id,B,S,Bl,Bt,Sl,St,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
33,33,"(5, 7)","(0, 8)",5,7,0,8,0.31,0.35,0.4,0.42,0.45,0.47,0.49,0.5,0.51,0.53,0.56,0.62,0.66,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67
34,34,"(5, 6)","(2, 8)",5,6,2,8,0.61,0.78,0.86,0.92,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
35,35,"(5, 7)","(3, 4)",5,7,3,4,0.45,0.47,0.24,0.1,0.08,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
36,36,"(3, 3)","(7, 7)",3,3,7,7,0.37,0.13,0.06,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,37,"(2, 3)","(7, 7)",2,3,7,7,0.99,0.08,0.12,0.2,0.24,0.48,0.2,0.24,0.4,0.22,0.4,0.12,0.32,0.28,0.3,0.52,0.18,0.4,0.28,0.24,0.32,0.32,0.4,0.32,0.2,0.36,0.2,0.4,0.28,0.44,0.2,0.36,0.4,0.2,0.36,0.36,0.24,0.48,0.2,0.24,0.4,0.22,0.4,0.12,0.32,0.28,0.3,0.52,0.18,0.4
38,38,"(1, 2)","(2, 8)",1,2,2,8,0.03,0.18,0.37,0.6,0.62,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
39,39,"(4, 8)","(0, 2)",4,8,0,2,0.22,0.21,0.17,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
40,40,"(0, 5)","(1, 8)",0,5,1,8,0.71,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79
41,41,"(3, 8)","(4, 8)",3,8,4,8,0.23,0.22,0.22,0.22,0.24,0.26,0.29,0.33,0.35,0.37,0.41,0.44,0.5,0.55,0.59,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
42,42,"(3, 7)","(2, 3)",3,7,2,3,0.55,0.55,0.49,0.45,0.53,0.51,0.41,0.64,0.39,0.43,0.46,0.47,0.46,0.42,0.54,0.48,0.54,0.46,0.42,0.67,0.34,0.49,0.5,0.37,0.54,0.48,0.36,0.5,0.48,0.51,0.44,0.53,0.47,0.34,0.58,0.45,0.39,0.37,0.36,0.44,0.45,0.47,0.52,0.61,0.44,0.41,0.42,0.62,0.43,0.34
43,43,"(1, 1)","(1, 2)",1,1,1,2,0.31,0.25,0.34,0.26,0.38,0.22,0.41,0.2,0.4,0.26,0.32,0.35,0.33,0.3,0.34,0.31,0.33,0.36,0.31,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36
44,44,"(2, 5)","(5, 5)",2,5,5,5,0.48,0.49,0.51,0.55,0.47,0.63,0.44,0.55,0.4,0.55,0.42,0.59,0.49,0.49,0.52,0.48,0.51,0.52,0.52,0.49,0.52,0.53,0.47,0.55,0.49,0.46,0.51,0.54,0.46,0.53,0.51,0.46,0.48,0.5,0.51,0.48,0.47,0.5,0.47,0.49,0.49,0.49,0.47,0.53,0.44,0.54,0.47,0.52,0.41,0.49
45,45,"(5, 7)","(6, 7)",5,7,6,7,0.34,0.1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
