,id,B,S,0,1,2,3,4,5,6,7,8,9
87,87,7,0,0.86,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
88,88,7,7,0.83,0.6,0.25,0.07,0.0,0.0,0.0,0.0,0.0,0.0
89,89,1,8,0.94,0.62,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
90,90,0,4,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
91,91,6,4,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
92,92,6,3,0.72,0.86,0.93,0.96,0.96,0.96,0.96,0.96,0.96,0.96
93,93,7,8,0.7,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,94,5,0,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
95,95,5,4,0.81,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
96,96,4,1,0.71,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
97,97,3,9,0.82,0.18,0.1,0.05,0.02,0.0,0.0,0.0,0.0,0.0
98,98,2,3,0.22,0.49,0.79,1.0,1.0,1.0,1.0,1.0,1.0,1.0
99,99,7,2,0.72,0.79,0.81,0.83,0.83,0.83,0.83,0.83,0.83,0.83
100,100,1,6,0.27,0.65,0.6,0.62,0.56,0.57,0.53,0.52,0.49,0.51
101,101,0,0,0.03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
102,102,3,1,0.27,0.56,0.81,0.94,1.0,1.0,1.0,1.0,1.0,1.0
103,103,9,6,0.88,0.82,0.72,0.6,0.46,0.28,0.13,0.03,0.0,0.0
104,104,8,8,0.97,0.78,0.43,0.1,0.0,0.0,0.0,0.0,0.0,0.0
105,105,8,6,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,106,9,8,0.6,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,107,1,7,0.58,0.45,0.55,0.45,0.55,0.45,0.55,0.45,0.55,0.45
108,108,2,0,0.22,0.57,0.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0
109,109,7,8,0.75,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,110,1,7,0.87,0.77,0.64,0.5,0.52,0.48,0.52,0.48,0.52,0.48
111,111,9,4,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87
112,112,9,7,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,113,1,3,0.22,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
114,114,3,6,0.49,0.5,0.48,0.52,0.48,0.52,0.48,0.52,0.48,0.52
115,115,9,1,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68
116,116,0,3,0.17,0.84,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
117,117,1,4,0.22,0.67,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0
118,118,3,1,0.07,0.08,0.12,0.18,0.27,0.38,0.5,0.62,0.76,0.87
119,119,4,0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
120,120,8,4,0.37,0.08,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,121,3,3,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,122,1,2,0.5,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
123,123,3,4,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,124,1,0,0.66,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
125,125,4,3,0.67,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
126,126,3,2,0.34,0.63,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
127,127,1,4,0.59,0.89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
128,128,8,3,0.24,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,129,5,1,0.69,0.92,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0
130,130,8,6,0.43,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,131,3,5,0.46,0.55,0.57,0.58,0.59,0.59,0.59,0.59,0.59,0.59
132,132,3,6,0.66,0.62,0.6,0.56,0.54,0.52,0.49,0.51,0.49,0.51
133,133,3,0,0.81,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
134,134,9,3,0.58,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
135,135,5,8,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,136,0,8,0.94,0.58,0.56,0.44,0.56,0.44,0.56,0.44,0.56,0.44
137,137,9,3,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,138,7,0,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
139,139,0,3,0.21,0.83,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
140,140,9,2,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54
141,141,4,9,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,142,1,3,0.55,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
143,143,9,7,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,144,4,1,0.51,0.82,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0
145,145,7,2,0.47,0.44,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
146,146,7,6,0.92,0.94,0.91,0.87,0.81,0.73,0.63,0.54,0.41,0.26
147,147,2,3,0.34,0.74,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0
148,148,0,8,0.21,0.79,0.3,0.7,0.3,0.7,0.3,0.7,0.3,0.7
149,149,7,6,0.49,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,150,9,6,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,151,2,7,0.85,0.64,0.56,0.44,0.56,0.44,0.56,0.44,0.56,0.44
152,152,9,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
153,153,5,6,0.67,0.56,0.39,0.24,0.11,0.03,0.0,0.0,0.0,0.0
154,154,2,2,0.71,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
155,155,0,9,0.33,0.67,0.33,0.67,0.33,0.67,0.33,0.67,0.33,0.67
156,156,8,3,0.37,0.28,0.26,0.23,0.2,0.18,0.17,0.17,0.17,0.17
157,157,0,8,0.78,0.29,0.71,0.29,0.71,0.29,0.71,0.29,0.71,0.29
158,158,0,5,0.71,0.89,0.93,0.97,1.0,1.0,1.0,1.0,1.0,1.0
159,159,3,5,0.48,0.62,0.7,0.77,0.83,0.88,0.94,0.97,1.0,1.0
160,160,8,6,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,161,3,6,0.58,0.58,0.59,0.53,0.55,0.47,0.53,0.47,0.53,0.47
162,162,6,5,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,163,9,4,0.54,0.4,0.28,0.16,0.11,0.04,0.0,0.0,0.0,0.0
164,164,5,1,0.49,0.69,0.84,0.88,0.94,1.0,1.0,1.0,1.0,1.0
165,165,3,8,0.97,0.82,0.67,0.56,0.45,0.47,0.53,0.47,0.53,0.47
166,166,5,5,0.3,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,167,9,7,0.56,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,168,1,5,0.05,0.31,0.51,0.69,0.78,0.92,0.98,1.0,1.0,1.0
169,169,6,8,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,170,5,3,0.43,0.44,0.49,0.54,0.58,0.61,0.63,0.64,0.65,0.65
171,171,9,9,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,172,2,5,0.4,0.57,0.6,0.66,0.7,0.79,0.87,0.95,0.99,1.0
173,173,1,5,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
174,174,8,3,0.26,0.1,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04
175,175,4,1,0.28,0.39,0.53,0.62,0.69,0.75,0.82,0.88,0.94,0.98
176,176,1,2,0.67,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
177,177,1,7,0.12,0.62,0.38,0.62,0.38,0.62,0.38,0.62,0.38,0.62
178,178,0,4,0.14,0.86,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
179,179,1,6,0.64,0.6,0.56,0.56,0.52,0.52,0.48,0.52,0.48,0.52
180,180,0,2,0.73,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
181,181,9,2,0.39,0.34,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.31
182,182,9,0,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61
183,183,9,2,0.51,0.47,0.46,0.45,0.45,0.45,0.45,0.45,0.45,0.45
184,184,3,0,0.87,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
185,185,4,0,0.48,0.77,0.94,0.99,1.0,1.0,1.0,1.0,1.0,1.0
186,186,3,1,0.64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
187,187,1,3,0.78,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
188,188,1,7,0.15,0.66,0.39,0.62,0.38,0.62,0.38,0.62,0.38,0.62
189,189,2,7,0.34,0.6,0.4,0.6,0.4,0.6,0.4,0.6,0.4,0.6
190,190,2,6,0.41,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
191,191,4,9,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,192,5,4,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,193,9,8,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,194,7,0,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26
195,195,3,9,0.19,0.12,0.11,0.1,0.08,0.07,0.05,0.06,0.05,0.06
196,196,2,4,0.44,0.77,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0
197,197,8,2,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
198,198,7,8,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,199,3,6,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,200,3,6,0.91,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
201,201,9,6,0.89,0.84,0.74,0.59,0.46,0.28,0.15,0.05,0.0,0.0
202,202,2,2,0.53,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
203,203,6,0,0.64,0.8,0.9,0.93,0.95,0.96,0.96,0.96,0.96,0.96
204,204,9,2,0.18,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,205,6,1,0.59,0.7,0.76,0.81,0.84,0.85,0.85,0.85,0.85,0.85
206,206,5,6,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,207,6,6,0.73,0.62,0.44,0.25,0.1,0.02,0.0,0.0,0.0,0.0
208,208,2,5,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,209,2,3,0.41,0.84,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
