,id,B,S,0,1,2,3,4,5,6,7,8,9
166,166,0,0,0.53,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
167,167,3,1,0.42,0.85,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0
168,168,9,9,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,169,6,6,0.48,0.11,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,170,7,8,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,171,8,7,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,172,0,8,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
173,173,6,8,0.5,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,174,9,8,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,175,3,6,0.5,0.53,0.47,0.53,0.47,0.53,0.47,0.53,0.47,0.53
176,176,1,7,0.56,0.44,0.56,0.44,0.56,0.44,0.56,0.44,0.56,0.44
177,177,4,9,0.57,0.32,0.18,0.1,0.05,0.02,0.0,0.0,0.0,0.0
178,178,2,0,0.53,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
179,179,8,2,0.44,0.41,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
180,180,7,8,0.49,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,181,4,4,0.53,0.71,0.83,0.9,0.96,1.0,1.0,1.0,1.0,1.0
182,182,1,7,0.47,0.54,0.46,0.54,0.46,0.54,0.46,0.54,0.46,0.54
183,183,6,9,0.43,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,184,4,1,0.51,0.79,0.9,0.96,1.0,1.0,1.0,1.0,1.0,1.0
185,185,5,9,0.41,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,186,7,1,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47
187,187,3,5,0.53,0.56,0.59,0.6,0.6,0.62,0.63,0.65,0.68,0.7
188,188,7,3,0.54,0.5,0.46,0.42,0.42,0.42,0.42,0.42,0.42,0.42
189,189,6,6,0.47,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,190,7,9,0.48,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,191,1,9,0.49,0.51,0.49,0.51,0.49,0.51,0.49,0.51,0.49,0.51
192,192,6,0,0.52,0.57,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59
193,193,3,8,0.51,0.42,0.49,0.5,0.5,0.5,0.5,0.5,0.5,0.5
194,194,4,1,0.5,0.88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
195,195,4,5,0.47,0.45,0.4,0.34,0.3,0.27,0.23,0.18,0.15,0.11
196,196,0,3,0.49,0.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
197,197,1,4,0.47,0.74,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0
198,198,4,4,0.48,0.59,0.69,0.81,0.91,1.0,1.0,1.0,1.0,1.0
199,199,0,0,0.49,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,200,8,4,0.42,0.19,0.08,0.05,0.02,0.0,0.0,0.0,0.0,0.0
201,201,6,9,0.46,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,202,3,3,0.41,0.75,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0
203,203,2,1,0.43,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
204,204,2,1,0.51,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
